@RELATION offres_emploi_maroc

@ATTRIBUTE desc_length NUMERIC
@ATTRIBUTE word_count NUMERIC
@ATTRIBUTE is_remote {0,1}
@ATTRIBUTE has_education {0,1}
@ATTRIBUTE has_experience {0,1}
@ATTRIBUTE location {casablanca,rabat,marrakech,tanger,agadir,fes,mohammedia,sale,kenitra,autre}
@ATTRIBUTE category {IT_DEVELOPPEMENT,JURIDIQUE_DROIT,SANTE_MEDICAL,ENERGIE_ENVIRONNEMENT,TELECOM_RESEAUX,BATIMENT_CONSTRUCTION,ADMIN_SYSTEME_CLOUD,EDUCATION_FORMATION,COMMERCIAL_VENTE,MARKETING_COM,RESSOURCES_HUMAINES,COMPTABILITE_FINANCE,LOGISTIQUE_TRANSPORT,PRODUCTION_INDUSTRIE,ADMINISTRATIF_SUPPORT,MANAGEMENT_DIRECTION,DATA_IA,INGENIERIE,SPECIAL_AUTRES,AUTRE_SECTEUR}

@DATA
426,60,0,1,1,casablanca,SPECIAL_AUTRES
548,76,0,0,1,casablanca,MANAGEMENT_DIRECTION
354,49,0,1,0,casablanca,SPECIAL_AUTRES
406,55,0,1,0,autre,SPECIAL_AUTRES
393,54,0,1,1,casablanca,COMPTABILITE_FINANCE
412,53,0,0,0,casablanca,DATA_IA
374,48,0,1,0,casablanca,DATA_IA
332,46,0,1,1,casablanca,SPECIAL_AUTRES
479,65,0,0,1,casablanca,SPECIAL_AUTRES
458,63,0,0,1,casablanca,SPECIAL_AUTRES
467,68,0,1,1,rabat,INGENIERIE
383,55,0,1,1,rabat,MANAGEMENT_DIRECTION
426,60,0,1,0,casablanca,TELECOM_RESEAUX
374,54,0,1,0,casablanca,MANAGEMENT_DIRECTION
412,54,0,1,0,casablanca,DATA_IA
479,57,0,1,0,sale,SPECIAL_AUTRES
364,47,0,0,0,marrakech,COMMERCIAL_VENTE
290,36,0,0,1,casablanca,COMPTABILITE_FINANCE
334,48,0,0,0,casablanca,COMMERCIAL_VENTE
371,55,0,0,0,autre,COMMERCIAL_VENTE
276,32,0,1,0,autre,SPECIAL_AUTRES
396,56,0,1,1,casablanca,MANAGEMENT_DIRECTION
454,65,0,1,0,casablanca,DATA_IA
420,56,0,1,1,casablanca,COMPTABILITE_FINANCE
344,44,0,1,0,casablanca,SPECIAL_AUTRES
337,49,0,1,0,casablanca,RESSOURCES_HUMAINES
418,58,0,1,0,autre,RESSOURCES_HUMAINES
431,56,0,1,0,casablanca,COMPTABILITE_FINANCE
364,53,0,1,1,tanger,JURIDIQUE_DROIT
366,51,0,0,0,casablanca,SPECIAL_AUTRES
474,63,0,1,1,autre,DATA_IA
406,59,0,1,0,casablanca,PRODUCTION_INDUSTRIE
438,58,0,1,0,autre,INGENIERIE
479,67,0,1,0,rabat,IT_DEVELOPPEMENT
450,68,0,1,0,casablanca,DATA_IA
403,55,0,1,1,casablanca,INGENIERIE
472,70,0,1,0,casablanca,IT_DEVELOPPEMENT
336,46,0,0,0,casablanca,LOGISTIQUE_TRANSPORT
353,46,0,0,0,casablanca,DATA_IA
341,44,0,1,0,casablanca,ADMINISTRATIF_SUPPORT
391,49,0,0,1,casablanca,COMMERCIAL_VENTE
355,47,0,0,1,casablanca,SPECIAL_AUTRES
342,45,0,0,0,casablanca,COMMERCIAL_VENTE
316,45,0,1,0,casablanca,DATA_IA
479,65,0,0,1,casablanca,SPECIAL_AUTRES
425,62,0,1,0,autre,PRODUCTION_INDUSTRIE
409,60,0,1,0,casablanca,MANAGEMENT_DIRECTION
450,66,0,1,0,autre,SPECIAL_AUTRES
385,53,0,0,0,autre,SPECIAL_AUTRES
377,57,0,0,0,casablanca,MARKETING_COM
343,49,0,0,0,casablanca,IT_DEVELOPPEMENT
395,52,0,1,1,casablanca,IT_DEVELOPPEMENT
326,40,0,0,0,casablanca,DATA_IA
456,65,0,1,0,casablanca,MANAGEMENT_DIRECTION
365,49,0,0,0,autre,SPECIAL_AUTRES
319,42,0,0,0,autre,IT_DEVELOPPEMENT
374,52,0,1,0,casablanca,SPECIAL_AUTRES
459,67,0,0,1,autre,IT_DEVELOPPEMENT
382,50,0,1,0,autre,ADMIN_SYSTEME_CLOUD
401,57,0,1,0,autre,IT_DEVELOPPEMENT
319,44,0,1,0,autre,SPECIAL_AUTRES
364,49,0,1,0,autre,INGENIERIE
421,63,0,1,0,autre,PRODUCTION_INDUSTRIE
342,43,0,1,1,casablanca,ADMINISTRATIF_SUPPORT
